"wavelength","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"323.9","0.0001361","0.0001062","7.66E-5","7.26E-5","5.44E-5","1.9E-5","2.05E-5","1.43E-5","1.69E-5","-3.38E-6","6.76E-6","7.24E-6","5.37E-6","-6.76E-6","-9.72E-6","2.09E-5","3.51E-5","-7.36E-6","3.38E-6","1.49E-5","6.76E-6","6.76E-6","8.69E-6","3.29E-6"
"324.7","0.0001408","9.91E-5","6.77E-5","4.51E-5","5.42E-5","2.52E-5","3.58E-5","1.43E-5","1.34E-5","6.7E-6","6.7E-6","5.74E-6","5.32E-6","0","1.94E-5","0","8.74E-6","7.32E-6","-3.35E-6","1.97E-5","1.0E-5","1.0E-5","4.31E-6","1.63E-6"
"325.5","0.0001384","0.0001104","4.99E-5","4.44E-5","4.26E-5","2.48E-5","3.01E-5","1.4E-5","1.33E-5","1.33E-5","3.32E-6","8.54E-6","1.76E-6","0","-9.51E-6","1.02E-5","0","0","3.32E-6","4.84E-6","1.33E-5","6.64E-6","2.14E-6","4.04E-6"
"326.3","0.0001318","0.0001221","6.59E-5","5.27E-5","2.11E-5","3.06E-5","1.99E-5","4.62E-6","0","6.58E-6","3.29E-6","5.64E-6","6.97E-6","0","-9.41E-6","2.03E-5","3.4E-5","1.42E-5","3.29E-6","9.58E-6","3.29E-6","0","4.23E-6","4.0E-6"
"327.1","0.0001415","0.0001022","6.55E-5","4.37E-5","3.14E-5","2.44E-5","4.94E-6","4.6E-6","0","9.79E-6","9.79E-6","9.79E-6","1.73E-6","9.79E-6","-9.36E-6","0","0","7.08E-6","0","4.76E-6","9.79E-6","1.31E-5","6.3E-6","1.59E-6"
"327.9","0.0001406","0.0001079","8.95E-5","6.07E-5","3.12E-5","2.42E-5","2.46E-5","2.28E-5","9.71E-6","6.48E-6","6.48E-6","4.16E-6","0","0","0","2.0E-5","0","0","-3.24E-6","-9.47E-6","6.48E-6","9.71E-6","4.16E-6","3.94E-6"
"328.8","0.0001386","0.0001064","7.22E-5","4.28E-5","4.11E-5","2.98E-5","1.94E-5","9.01E-6","1.28E-5","0","9.62E-6","5.5E-6","6.79E-6","-3.21E-6","9.17E-6","0","0","1.39E-5","-3.21E-6","0","6.42E-6","6.42E-6","4.13E-6","4.68E-6"
"329.6","0.0001575","0.0001053","6.35E-5","5.93E-5","2.03E-5","2.95E-5","2.4E-5","2.23E-5","9.54E-6","6.36E-6","9.54E-6","4.09E-6","1.68E-6","0","-9.07E-6","9.77E-6","8.19E-6","0","6.36E-6","4.62E-6","3.18E-6","6.36E-6","0","7.74E-7"
"330.4","0.0001449","0.0001097","6.25E-5","5.83E-5","4.0E-5","2.32E-5","1.89E-5","1.32E-5","9.46E-6","6.31E-6","3.15E-6","5.41E-6","5.01E-6","9.46E-6","0","0","8.06E-6","6.75E-6","9.46E-6","4.54E-6","6.31E-6","1.58E-5","0","2.3E-6"
"331.2","0.000158","0.0001144","7.72E-5","4.12E-5","2.96E-5","3.45E-5","2.8E-5","2.6E-5","3.13E-6","-3.13E-6","6.26E-6","4.03E-6","4.97E-6","3.13E-6","8.82E-6","0","-1.59E-5","1.34E-5","9.39E-6","8.98E-6","6.26E-6","6.26E-6","4.03E-6","3.81E-6"
"332","0.000163","0.0001145","0.0001004","3.29E-5","2.96E-5","3.45E-5","1.86E-5","3.03E-5","6.22E-6","6.22E-6","6.22E-6","8.0E-6","4.94E-6","-3.11E-6","8.82E-6","9.5E-6","0","6.68E-6","6.22E-6","0","6.22E-6","3.11E-6","6.0E-6","1.51E-6"
"332.8","0.0001714","0.0001314","7.65E-5","4.08E-5","2.94E-5","2.85E-5","2.77E-5","2.58E-5","3.08E-6","3.08E-6","1.23E-5","3.96E-6","8.16E-6","0","0","0","1.58E-5","1.32E-5","6.17E-6","4.45E-6","0","6.17E-6","1.98E-6","4.5E-6"
"333.6","0.0001843","0.0001242","7.58E-5","5.66E-5","3.88E-5","2.26E-5","1.83E-5","2.13E-5","1.23E-5","6.13E-6","3.06E-6","6.56E-6","1.62E-6","-3.06E-6","-1.73E-5","0","-7.82E-6","6.55E-6","6.13E-6","4.41E-6","9.19E-6","-3.06E-6","3.94E-6","2.24E-6"
"334.4","0.000178","0.0001173","7.52E-5","5.61E-5","6.73E-5","2.24E-5","2.27E-5","1.69E-5","6.08E-6","3.04E-6","1.52E-5","7.81E-6","6.44E-6","-3.04E-6","8.59E-6","-9.25E-6","1.55E-5","1.95E-5","-3.04E-6","4.37E-6","3.04E-6","1.22E-5","3.91E-6","1.48E-6"
"335.2","0.0001858","0.0001278","6.7E-5","6.35E-5","5.72E-5","2.22E-5","2.7E-5","2.09E-5","6.03E-6","0","3.02E-6","6.47E-6","3.19E-6","-3.02E-6","8.51E-6","0","0","1.29E-5","3.02E-6","4.33E-6","3.02E-6","6.03E-6","3.88E-6","3.67E-6"
"336.1","0.0002131","0.0001386","9.62E-5","4.74E-5","3.79E-5","2.75E-5","2.23E-5","1.25E-5","5.99E-6","5.99E-6","5.99E-6","3.85E-6","3.17E-6","-8.98E-6","0","0","7.64E-6","1.28E-5","8.98E-6","4.31E-6","5.99E-6","8.98E-6","7.7E-6","2.91E-6"
"336.9","0.0002172","0.0001439","8.85E-5","3.93E-5","4.72E-5","2.75E-5","1.78E-5","1.66E-5","5.95E-6","5.95E-6","2.98E-6","5.1E-6","1.58E-6","-2.98E-6","0","9.08E-6","1.52E-5","-6.38E-6","8.93E-6","8.58E-6","8.93E-6","2.98E-6","7.65E-6","2.9E-6"
"337.7","0.0002199","0.0001484","9.5E-5","5.46E-5","4.68E-5","1.63E-5","1.77E-5","2.05E-5","0","2.95E-6","-2.95E-6","7.59E-6","3.13E-6","0","8.36E-6","-9.0E-6","7.55E-6","6.32E-6","-5.9E-6","0","5.9E-6","5.9E-6","3.8E-6","3.59E-6"
"338.5","0.000246","0.0001471","9.43E-5","3.09E-5","8.35E-5","2.7E-5","2.19E-5","1.22E-5","5.87E-6","1.17E-5","8.8E-6","6.29E-6","6.21E-6","5.87E-6","8.29E-6","8.92E-6","7.49E-6","1.88E-5","2.93E-6","1.27E-5","8.8E-6","5.87E-6","0","2.85E-6"
"339.3","0.0002392","0.0001458","8.62E-5","5.37E-5","4.6E-5","1.6E-5","2.17E-5","2.02E-5","5.83E-6","5.83E-6","5.83E-6","5.0E-6","3.09E-6","-2.91E-6","1.64E-5","-8.85E-6","-7.42E-6","1.87E-5","0","-4.18E-6","2.91E-6","8.74E-6","3.75E-6","2.13E-6"
"340.1","0.0002931","0.0001448","8.56E-5","6.09E-5","4.57E-5","1.06E-5","1.72E-5","1.2E-5","8.68E-6","-2.89E-6","0","7.44E-6","3.06E-6","2.89E-6","-8.15E-6","8.78E-6","7.37E-6","1.23E-5","0","0","1.16E-5","0","5.58E-6","2.11E-6"
"340.9","0.0002959","0.0001438","8.5E-5","5.29E-5","6.35E-5","2.64E-5","2.14E-5","1.59E-5","1.44E-5","8.61E-6","2.87E-6","3.69E-6","3.04E-6","-5.74E-6","-8.1E-6","0","-7.32E-6","6.13E-6","8.61E-6","-4.12E-6","2.87E-6","5.74E-6","3.69E-6","3.49E-6"
"341.7","0.00032","0.0001588","9.12E-5","5.99E-5","2.69E-5","3.66E-5","2.54E-5","1.97E-5","8.55E-6","8.55E-6","2.85E-6","4.89E-6","4.53E-6","-2.85E-6","2.41E-5","8.63E-6","0","1.21E-5","2.85E-6","-4.08E-6","2.85E-6","2.85E-6","1.83E-6","2.08E-6"
"342.5","0.0003536","0.0001468","9.75E-5","5.2E-5","4.46E-5","4.15E-5","2.1E-5","1.56E-5","2.83E-6","2.83E-6","-2.83E-6","6.07E-6","4.5E-6","2.83E-6","0","0","-7.19E-6","0","2.83E-6","1.62E-5","0","5.66E-6","3.64E-6","3.44E-6"
"343.4","0.0003922","0.0001622","9.01E-5","5.17E-5","5.32E-5","3.61E-5","2.09E-5","1.56E-5","5.63E-6","8.45E-6","2.82E-6","4.83E-6","4.47E-6","-2.82E-6","7.92E-6","8.53E-6","0","2.4E-5","5.63E-6","4.03E-6","5.63E-6","0","3.62E-6","1.37E-6"
"344.2","0.0004111","0.0001715","9.61E-5","5.13E-5","9.67E-5","2.04E-5","2.9E-5","1.54E-5","2.8E-6","0","1.12E-5","6.0E-6","2.96E-6","-2.8E-6","7.85E-6","0","7.09E-6","1.19E-5","2.8E-6","7.99E-6","8.4E-6","5.6E-6","1.8E-6","1.36E-6"
"345","0.0004487","0.0001705","0.0001024","5.82E-5","6.99E-5","2.54E-5","2.06E-5","1.92E-5","8.34E-6","5.56E-6","2.78E-6","4.76E-6","1.47E-6","0","7.8E-6","0","-7.05E-6","1.77E-5","0","0","2.78E-6","1.11E-5","1.79E-6","2.03E-6"
"345.8","0.0005169","0.0001697","0.0001019","5.8E-5","2.61E-5","1.01E-5","2.46E-5","1.91E-5","8.3E-6","8.3E-6","1.11E-5","5.93E-6","5.86E-6","0","0","-8.36E-6","-1.4E-5","1.18E-5","5.53E-6","7.91E-6","5.53E-6","0","1.78E-6","2.69E-6"
"346.6","0.0005998","0.0001747","8.82E-5","6.51E-5","4.34E-5","2.02E-5","2.05E-5","3.05E-5","1.1E-5","5.51E-6","2.76E-6","5.91E-6","0","0","0","0","7.0E-6","1.17E-5","5.51E-6","-3.95E-6","5.51E-6","0","5.31E-6","2.01E-6"
"347.4","0.0006442","0.0001893","9.43E-5","7.19E-5","6.04E-5","2.51E-5","1.22E-5","1.51E-5","8.23E-6","5.49E-6","8.23E-6","9.41E-6","4.36E-6","-8.23E-6","0","0","1.39E-5","-5.83E-6","5.49E-6","1.18E-5","0","2.74E-6","1.76E-6","2.67E-6"
"348.2","0.000723","0.0002051","9.43E-5","7.19E-5","5.18E-5","2.01E-5","1.63E-5","2.27E-5","5.47E-6","5.47E-6","8.21E-6","4.69E-6","-1.45E-6","-5.47E-6","1.54E-5","8.29E-6","6.96E-6","0","5.47E-6","0","0","2.74E-6","1.76E-6","3.33E-6"
"349","0.0008248","0.0002088","0.0001003","7.13E-5","7.7E-5","2.99E-5","2.02E-5","1.13E-5","5.46E-6","2.73E-6","2.73E-6","7.02E-6","0","0","7.64E-6","2.47E-5","6.9E-6","1.16E-5","2.73E-6","7.78E-6","1.37E-5","8.19E-6","1.76E-6","6.64E-7"
"349.8","0.001025","0.000203","0.00012","7.11E-5","5.98E-5","2.48E-5","1.21E-5","1.87E-5","1.09E-5","0","8.17E-6","5.84E-6","5.77E-6","-5.45E-6","7.62E-6","1.64E-5","6.88E-6","1.15E-5","0","7.76E-6","5.45E-6","-2.73E-6","3.5E-6","3.31E-6"
"350.7","0.001218","0.0002338","0.0001265","7.81E-5","7.67E-5","1.98E-5","2.41E-5","1.12E-5","2.72E-6","1.63E-5","5.43E-6","3.49E-6","4.32E-6","-5.43E-6","0","-8.19E-6","-1.37E-5","5.76E-6","5.43E-6","0","5.43E-6","5.43E-6","3.49E-6","0"
"351.5","0.001536","0.000228","0.0001328","7.08E-5","4.25E-5","3.46E-5","2.01E-5","1.49E-5","5.42E-6","1.35E-5","5.42E-6","5.8E-6","2.87E-6","2.71E-6","-7.59E-6","-2.45E-5","1.37E-5","5.74E-6","0","7.73E-6","2.71E-6","5.42E-6","3.48E-6","1.98E-6"
"352.3","0.001958","0.0002478","0.0001124","6.35E-5","3.39E-5","1.97E-5","2.0E-5","2.6E-5","1.08E-5","5.4E-6","8.1E-6","4.63E-6","5.72E-6","2.7E-6","1.51E-5","-1.63E-5","-6.83E-6","5.72E-6","0","7.7E-6","2.7E-6","0","1.74E-6","3.28E-6"
"353.1","0.00256","0.0002666","0.0001445","7.71E-5","5.89E-5","2.93E-5","2.78E-5","1.11E-5","0","2.69E-6","1.08E-5","6.92E-6","1.42E-6","-5.38E-6","0","8.09E-6","1.36E-5","0","5.38E-6","7.65E-6","2.69E-6","2.69E-6","0","1.96E-6"
"353.9","0.003309","0.000261","0.0001312","8.39E-5","4.2E-5","2.44E-5","2.38E-5","1.47E-5","5.37E-6","1.07E-5","5.37E-6","4.6E-6","1.42E-6","0","-7.5E-6","0","6.77E-6","1.13E-5","5.37E-6","-3.82E-6","1.34E-5","0","3.45E-6","6.53E-7"
"354.7","0.004354","0.0002706","0.0001374","9.07E-5","7.54E-5","3.89E-5","2.77E-5","1.84E-5","5.36E-6","1.07E-5","5.36E-6","5.74E-6","1.42E-6","-8.03E-6","1.5E-5","-1.61E-5","-6.75E-6","0","2.68E-6","7.61E-6","8.03E-6","0","1.72E-6","1.95E-6"
"355.5","0.005544","0.0002861","0.0001504","9.07E-5","5.86E-5","3.41E-5","2.37E-5","7.34E-6","8.03E-6","1.07E-5","5.35E-6","5.73E-6","5.67E-6","-2.68E-6","0","8.05E-6","-6.75E-6","1.7E-5","8.03E-6","7.61E-6","2.68E-6","5.35E-6","5.16E-6","1.95E-6"
"356.3","0.007198","0.0003371","0.000137","9.75E-5","7.52E-5","3.4E-5","1.58E-5","2.2E-5","2.67E-6","0","-2.67E-6","6.87E-6","5.66E-6","0","0","-8.03E-6","0","5.64E-6","2.67E-6","3.8E-6","2.67E-6","8.02E-6","1.72E-6","1.3E-6"
"357.1","0.009308","0.0003428","0.0001437","6.97E-5","6.69E-5","1.94E-5","2.76E-5","1.47E-5","5.34E-6","8.02E-6","2.67E-6","4.58E-6","2.83E-6","0","1.49E-5","0","1.35E-5","0","2.67E-6","3.8E-6","-5.34E-6","8.02E-6","3.44E-6","6.5E-7"
"358","0.01191","0.0004045","0.0001568","9.76E-5","6.69E-5","3.4E-5","1.58E-5","1.1E-5","1.07E-5","1.34E-5","8.02E-6","2.29E-6","2.83E-6","-2.67E-6","0","-8.04E-6","0","5.65E-6","2.67E-6","3.8E-6","2.67E-6","5.35E-6","1.72E-6","1.95E-6"
"358.8","0.01537","0.0004265","0.0001639","0.0001049","5.87E-5","2.93E-5","1.98E-5","2.21E-5","8.01E-6","8.01E-6","0","4.58E-6","5.66E-6","-5.34E-6","0","0","1.35E-5","0","-5.34E-6","7.63E-6","-8.01E-6","5.34E-6","3.43E-6","1.3E-6"
"359.6","0.01968","0.0004726","0.0001767","0.0001117","0.0001005","3.41E-5","2.77E-5","2.57E-5","2.67E-6","1.33E-5","2.67E-6","5.72E-6","4.24E-6","-2.67E-6","7.48E-6","-8.06E-6","-1.35E-5","5.66E-6","5.34E-6","1.14E-5","2.67E-6","2.67E-6","5.15E-6","6.49E-7"
"360.4","0.02505","0.0004989","0.0001702","0.0001187","9.22E-5","3.41E-5","1.98E-5","2.57E-5","1.07E-5","1.33E-5","5.33E-6","5.71E-6","4.24E-6","-2.67E-6","-7.48E-6","-8.06E-6","-6.76E-6","5.66E-6","8.0E-6","1.14E-5","0","-5.33E-6","0","2.59E-6"
"361.2","0.03155","0.0005477","0.0001563","9.72E-5","6.67E-5","4.85E-5","2.75E-5","1.83E-5","1.07E-5","1.33E-5","1.07E-5","3.42E-6","4.23E-6","2.66E-6","7.44E-6","0","6.72E-6","1.69E-5","-2.66E-6","7.58E-6","2.66E-6","5.33E-6","3.42E-6","2.59E-6"
"362","0.03989","0.0006263","0.0001827","0.0001044","6.68E-5","3.89E-5","1.97E-5","2.2E-5","2.66E-6","2.66E-6","2.66E-6","4.56E-6","4.22E-6","0","0","0","-1.35E-5","1.13E-5","2.66E-6","7.6E-6","0","2.66E-6","5.13E-6","2.59E-6"
"362.8","0.04935","0.0006854","0.000182","0.000104","0.0001081","3.87E-5","2.35E-5","2.55E-5","5.3E-6","1.06E-5","5.3E-6","6.82E-6","8.42E-6","0","0","8.0E-6","0","1.12E-5","2.65E-6","0","2.65E-6","2.65E-6","3.41E-6","2.58E-6"
"363.6","0.05982","0.0007823","0.0002142","0.0001246","8.31E-5","2.9E-5","2.35E-5","2.55E-5","0","5.29E-6","2.64E-6","5.66E-6","4.2E-6","2.64E-6","7.42E-6","0","6.7E-6","5.61E-6","0","1.13E-5","-5.29E-6","0","1.7E-6","1.93E-6"
"364.4","0.07039","0.0008862","0.0002004","0.0001034","0.0001076","2.89E-5","2.73E-5","1.81E-5","5.26E-6","1.05E-5","5.26E-6","7.89E-6","1.39E-6","2.63E-6","0","-2.39E-5","6.67E-6","0","0","3.76E-6","0","5.26E-6","1.69E-6","1.92E-6"
"365.3","0.07844","0.001044","0.0002179","0.0001367","5.74E-5","2.86E-5","3.48E-5","1.44E-5","2.61E-6","7.82E-6","7.82E-6","7.82E-6","4.14E-6","2.61E-6","-7.33E-6","7.89E-6","0","-5.54E-6","0","3.73E-6","0","2.61E-6","1.68E-6","1.27E-6"
"366.1","0.08439","0.00126","0.0002174","0.0001296","9.0E-5","5.23E-5","1.93E-5","2.51E-5","0","1.56E-5","5.2E-6","7.8E-6","1.38E-6","5.2E-6","7.31E-6","-7.87E-6","-1.32E-5","0","2.6E-6","7.44E-6","-2.6E-6","0","5.01E-6","1.27E-6"
"366.9","0.086","0.001534","0.000223","0.0001155","8.16E-5","4.27E-5","2.31E-5","1.43E-5","5.18E-6","1.29E-5","5.18E-6","6.66E-6","4.11E-6","5.18E-6","0","0","6.58E-6","0","-2.59E-6","0","0","-5.18E-6","1.66E-6","1.26E-6"
"367.7","0.08364","0.001884","0.0002283","0.000142","8.93E-5","4.25E-5","3.45E-5","1.07E-5","5.17E-6","5.17E-6","7.75E-6","3.32E-6","1.37E-6","2.58E-6","0","7.81E-6","-1.96E-5","-1.65E-5","0","-1.11E-5","-2.58E-6","5.17E-6","1.66E-6","1.26E-6"
"368.5","0.07808","0.002357","0.0002649","0.0001211","8.07E-5","3.75E-5","1.9E-5","2.48E-5","1.54E-5","7.71E-6","2.57E-6","9.91E-6","8.16E-6","-2.57E-6","-7.21E-6","0","6.51E-6","0","2.57E-6","7.34E-6","-2.57E-6","5.14E-6","3.3E-6","1.88E-6"
"369.3","0.0707","0.002929","0.0002512","0.0001407","8.84E-5","4.21E-5","1.9E-5","2.47E-5","1.02E-5","7.66E-6","1.02E-5","7.66E-6","4.06E-6","7.66E-6","7.18E-6","-7.73E-6","-6.48E-6","1.09E-5","-2.55E-6","-3.65E-6","0","0","0","1.86E-6"
